class_index,class,image_name
142,n02033041,ILSVRC2012_val_00020205.JPEG
256,n02111277,ILSVRC2012_val_00048512.JPEG
967,n07920052,ILSVRC2012_val_00049872.JPEG
545,n03271574,ILSVRC2012_val_00022306.JPEG
500,n03042490,ILSVRC2012_val_00034089.JPEG
102,n01872401,ILSVRC2012_val_00047437.JPEG
797,n04235860,ILSVRC2012_val_00019404.JPEG
53,n01728920,ILSVRC2012_val_00024599.JPEG
792,n04208210,ILSVRC2012_val_00019065.JPEG
384,n02500267,ILSVRC2012_val_00045942.JPEG
173,n02091244,ILSVRC2012_val_00004776.JPEG
739,n03992509,ILSVRC2012_val_00038161.JPEG
580,n03457902,ILSVRC2012_val_00006489.JPEG
795,n04228054,ILSVRC2012_val_00045867.JPEG
759,n04069434,ILSVRC2012_val_00019112.JPEG
821,n04311004,ILSVRC2012_val_00004981.JPEG
221,n02102973,ILSVRC2012_val_00042627.JPEG
151,n02085620,ILSVRC2012_val_00031154.JPEG
739,n03992509,ILSVRC2012_val_00041055.JPEG
874,n04487081,ILSVRC2012_val_00011625.JPEG
892,n04548280,ILSVRC2012_val_00031861.JPEG
312,n02229544,ILSVRC2012_val_00047643.JPEG
64,n01749939,ILSVRC2012_val_00029525.JPEG
344,n02398521,ILSVRC2012_val_00001066.JPEG
746,n04019541,ILSVRC2012_val_00007030.JPEG
270,n02114548,ILSVRC2012_val_00017957.JPEG
243,n02108422,ILSVRC2012_val_00036859.JPEG
763,n04086273,ILSVRC2012_val_00015260.JPEG
671,n03792782,ILSVRC2012_val_00011330.JPEG
130,n02007558,ILSVRC2012_val_00029724.JPEG
820,n04310018,ILSVRC2012_val_00021247.JPEG
137,n02018207,ILSVRC2012_val_00027996.JPEG
779,n04146614,ILSVRC2012_val_00035824.JPEG
842,n04371430,ILSVRC2012_val_00001006.JPEG
779,n04146614,ILSVRC2012_val_00038209.JPEG
333,n02342885,ILSVRC2012_val_00001478.JPEG
761,n04074963,ILSVRC2012_val_00038370.JPEG
9,n01518878,ILSVRC2012_val_00037698.JPEG
835,n04355338,ILSVRC2012_val_00039180.JPEG
133,n02011460,ILSVRC2012_val_00012338.JPEG
377,n02490219,ILSVRC2012_val_00004564.JPEG
745,n04009552,ILSVRC2012_val_00049074.JPEG
627,n03670208,ILSVRC2012_val_00000357.JPEG
218,n02102177,ILSVRC2012_val_00006630.JPEG
258,n02111889,ILSVRC2012_val_00033280.JPEG
639,n03710721,ILSVRC2012_val_00010063.JPEG
674,n03794056,ILSVRC2012_val_00020103.JPEG
870,n04482393,ILSVRC2012_val_00042298.JPEG
919,n06794110,ILSVRC2012_val_00034625.JPEG
340,n02391049,ILSVRC2012_val_00030688.JPEG
14,n01537544,ILSVRC2012_val_00010339.JPEG
76,n01774750,ILSVRC2012_val_00033930.JPEG
575,n03445924,ILSVRC2012_val_00041371.JPEG
198,n02097209,ILSVRC2012_val_00022856.JPEG
786,n04179913,ILSVRC2012_val_00049473.JPEG
82,n01797886,ILSVRC2012_val_00030036.JPEG
448,n02843684,ILSVRC2012_val_00017166.JPEG
193,n02096294,ILSVRC2012_val_00045487.JPEG
90,n01820546,ILSVRC2012_val_00003884.JPEG
308,n02190166,ILSVRC2012_val_00034895.JPEG
354,n02437312,ILSVRC2012_val_00019635.JPEG
486,n02992211,ILSVRC2012_val_00027742.JPEG
601,n03534580,ILSVRC2012_val_00042217.JPEG
142,n02033041,ILSVRC2012_val_00048261.JPEG
29,n01632777,ILSVRC2012_val_00034583.JPEG
911,n04599235,ILSVRC2012_val_00029811.JPEG
659,n03775546,ILSVRC2012_val_00039667.JPEG
61,n01742172,ILSVRC2012_val_00018907.JPEG
350,n02417914,ILSVRC2012_val_00047806.JPEG
778,n04141975,ILSVRC2012_val_00009182.JPEG
874,n04487081,ILSVRC2012_val_00040823.JPEG
289,n02128757,ILSVRC2012_val_00012404.JPEG
387,n02509815,ILSVRC2012_val_00012160.JPEG
968,n07930864,ILSVRC2012_val_00045302.JPEG
53,n01728920,ILSVRC2012_val_00035264.JPEG
300,n02165105,ILSVRC2012_val_00002845.JPEG
795,n04228054,ILSVRC2012_val_00047703.JPEG
211,n02100583,ILSVRC2012_val_00043494.JPEG
97,n01847000,ILSVRC2012_val_00040849.JPEG
257,n02111500,ILSVRC2012_val_00039730.JPEG
251,n02110341,ILSVRC2012_val_00045768.JPEG
857,n04429376,ILSVRC2012_val_00028100.JPEG
586,n03478589,ILSVRC2012_val_00010160.JPEG
182,n02093754,ILSVRC2012_val_00044977.JPEG
69,n01768244,ILSVRC2012_val_00006045.JPEG
783,n04153751,ILSVRC2012_val_00026238.JPEG
925,n07584110,ILSVRC2012_val_00028538.JPEG
432,n02804610,ILSVRC2012_val_00048210.JPEG
72,n01773157,ILSVRC2012_val_00011053.JPEG
332,n02328150,ILSVRC2012_val_00044103.JPEG
966,n07892512,ILSVRC2012_val_00038996.JPEG
384,n02500267,ILSVRC2012_val_00010020.JPEG
814,n04273569,ILSVRC2012_val_00032833.JPEG
515,n03124170,ILSVRC2012_val_00006490.JPEG
1,n01443537,ILSVRC2012_val_00046969.JPEG
923,n07579787,ILSVRC2012_val_00030201.JPEG
43,n01688243,ILSVRC2012_val_00038665.JPEG
951,n07749582,ILSVRC2012_val_00023879.JPEG
366,n02480855,ILSVRC2012_val_00041607.JPEG
389,n02514041,ILSVRC2012_val_00046558.JPEG
821,n04311004,ILSVRC2012_val_00042606.JPEG
736,n03982430,ILSVRC2012_val_00006974.JPEG
558,n03372029,ILSVRC2012_val_00001896.JPEG
641,n03720891,ILSVRC2012_val_00044235.JPEG
867,n04467665,ILSVRC2012_val_00041588.JPEG
828,n04332243,ILSVRC2012_val_00035739.JPEG
750,n04033995,ILSVRC2012_val_00027774.JPEG
873,n04486054,ILSVRC2012_val_00028421.JPEG
151,n02085620,ILSVRC2012_val_00001049.JPEG
988,n12267677,ILSVRC2012_val_00038516.JPEG
299,n02138441,ILSVRC2012_val_00024744.JPEG
688,n03857828,ILSVRC2012_val_00023487.JPEG
811,n04265275,ILSVRC2012_val_00031997.JPEG
852,n04409515,ILSVRC2012_val_00044037.JPEG
384,n02500267,ILSVRC2012_val_00037638.JPEG
535,n03208938,ILSVRC2012_val_00017225.JPEG
964,n07875152,ILSVRC2012_val_00014625.JPEG
573,n03444034,ILSVRC2012_val_00030549.JPEG
634,n03697007,ILSVRC2012_val_00034457.JPEG
813,n04270147,ILSVRC2012_val_00003369.JPEG
82,n01797886,ILSVRC2012_val_00022115.JPEG
646,n03733281,ILSVRC2012_val_00024860.JPEG
359,n02443484,ILSVRC2012_val_00016084.JPEG
86,n01807496,ILSVRC2012_val_00025495.JPEG
438,n02815834,ILSVRC2012_val_00018493.JPEG
771,n04125021,ILSVRC2012_val_00044161.JPEG
530,n03196217,ILSVRC2012_val_00041483.JPEG
718,n03933933,ILSVRC2012_val_00010358.JPEG
342,n02396427,ILSVRC2012_val_00023375.JPEG
640,n03717622,ILSVRC2012_val_00042362.JPEG
586,n03478589,ILSVRC2012_val_00043554.JPEG
34,n01665541,ILSVRC2012_val_00002709.JPEG
932,n07695742,ILSVRC2012_val_00018217.JPEG
628,n03673027,ILSVRC2012_val_00029907.JPEG
570,n03424325,ILSVRC2012_val_00013630.JPEG
408,n02704792,ILSVRC2012_val_00027071.JPEG
749,n04033901,ILSVRC2012_val_00003376.JPEG
22,n01614925,ILSVRC2012_val_00027079.JPEG
939,n07716358,ILSVRC2012_val_00016672.JPEG
610,n03595614,ILSVRC2012_val_00006226.JPEG
405,n02692877,ILSVRC2012_val_00003670.JPEG
584,n03476684,ILSVRC2012_val_00020650.JPEG
115,n01950731,ILSVRC2012_val_00029013.JPEG
249,n02110063,ILSVRC2012_val_00017854.JPEG
980,n09472597,ILSVRC2012_val_00030382.JPEG
222,n02104029,ILSVRC2012_val_00041264.JPEG
858,n04435653,ILSVRC2012_val_00026116.JPEG
993,n13037406,ILSVRC2012_val_00000200.JPEG
21,n01608432,ILSVRC2012_val_00018796.JPEG
26,n01630670,ILSVRC2012_val_00045451.JPEG
334,n02346627,ILSVRC2012_val_00049030.JPEG
197,n02097130,ILSVRC2012_val_00048493.JPEG
932,n07695742,ILSVRC2012_val_00029962.JPEG
521,n03133878,ILSVRC2012_val_00030766.JPEG
43,n01688243,ILSVRC2012_val_00003124.JPEG
855,n04423845,ILSVRC2012_val_00030456.JPEG
462,n02906734,ILSVRC2012_val_00014268.JPEG
134,n02012849,ILSVRC2012_val_00003472.JPEG
312,n02229544,ILSVRC2012_val_00037356.JPEG
630,n03680355,ILSVRC2012_val_00023094.JPEG
713,n03924679,ILSVRC2012_val_00017435.JPEG
936,n07714571,ILSVRC2012_val_00040475.JPEG
607,n03590841,ILSVRC2012_val_00001707.JPEG
672,n03792972,ILSVRC2012_val_00020541.JPEG
369,n02483708,ILSVRC2012_val_00033080.JPEG
51,n01704323,ILSVRC2012_val_00017962.JPEG
20,n01601694,ILSVRC2012_val_00047121.JPEG
555,n03345487,ILSVRC2012_val_00003016.JPEG
10,n01530575,ILSVRC2012_val_00012814.JPEG
905,n04590129,ILSVRC2012_val_00029933.JPEG
603,n03538406,ILSVRC2012_val_00016039.JPEG
540,n03240683,ILSVRC2012_val_00039965.JPEG
655,n03770439,ILSVRC2012_val_00014618.JPEG
264,n02113186,ILSVRC2012_val_00039700.JPEG
550,n03297495,ILSVRC2012_val_00006536.JPEG
994,n13040303,ILSVRC2012_val_00004640.JPEG
10,n01530575,ILSVRC2012_val_00027619.JPEG
118,n01978287,ILSVRC2012_val_00040484.JPEG
292,n02129604,ILSVRC2012_val_00031492.JPEG
339,n02389026,ILSVRC2012_val_00047494.JPEG
663,n03781244,ILSVRC2012_val_00032569.JPEG
216,n02101556,ILSVRC2012_val_00000716.JPEG
534,n03207941,ILSVRC2012_val_00025368.JPEG
228,n02105505,ILSVRC2012_val_00029214.JPEG
280,n02120505,ILSVRC2012_val_00002987.JPEG
178,n02092339,ILSVRC2012_val_00030648.JPEG
102,n01872401,ILSVRC2012_val_00049107.JPEG
438,n02815834,ILSVRC2012_val_00010595.JPEG
113,n01944390,ILSVRC2012_val_00024410.JPEG
540,n03240683,ILSVRC2012_val_00036010.JPEG
738,n03991062,ILSVRC2012_val_00002437.JPEG
182,n02093754,ILSVRC2012_val_00014318.JPEG
368,n02483362,ILSVRC2012_val_00009925.JPEG
351,n02422106,ILSVRC2012_val_00020699.JPEG
183,n02093859,ILSVRC2012_val_00021000.JPEG
95,n01843065,ILSVRC2012_val_00039261.JPEG
732,n03976467,ILSVRC2012_val_00031616.JPEG
56,n01734418,ILSVRC2012_val_00047216.JPEG
779,n04146614,ILSVRC2012_val_00028711.JPEG
195,n02096585,ILSVRC2012_val_00034691.JPEG
323,n02279972,ILSVRC2012_val_00005614.JPEG
88,n01818515,ILSVRC2012_val_00009857.JPEG
255,n02111129,ILSVRC2012_val_00033449.JPEG
580,n03457902,ILSVRC2012_val_00006829.JPEG
121,n01981276,ILSVRC2012_val_00004462.JPEG
233,n02106382,ILSVRC2012_val_00041527.JPEG
98,n01855032,ILSVRC2012_val_00010810.JPEG
971,n09229709,ILSVRC2012_val_00025713.JPEG
471,n02950826,ILSVRC2012_val_00014835.JPEG
583,n03467068,ILSVRC2012_val_00039679.JPEG
489,n03000134,ILSVRC2012_val_00001094.JPEG
525,n03160309,ILSVRC2012_val_00012427.JPEG
69,n01768244,ILSVRC2012_val_00003421.JPEG
997,n13054560,ILSVRC2012_val_00004877.JPEG
950,n07747607,ILSVRC2012_val_00048190.JPEG
105,n01882714,ILSVRC2012_val_00028909.JPEG
545,n03271574,ILSVRC2012_val_00004415.JPEG
970,n09193705,ILSVRC2012_val_00005475.JPEG
294,n02132136,ILSVRC2012_val_00019682.JPEG
82,n01797886,ILSVRC2012_val_00025200.JPEG
564,n03388549,ILSVRC2012_val_00009721.JPEG
27,n01631663,ILSVRC2012_val_00038658.JPEG
327,n02317335,ILSVRC2012_val_00026260.JPEG
780,n04147183,ILSVRC2012_val_00011254.JPEG
434,n02808304,ILSVRC2012_val_00028603.JPEG
544,n03259280,ILSVRC2012_val_00026493.JPEG
882,n04517823,ILSVRC2012_val_00007207.JPEG
228,n02105505,ILSVRC2012_val_00013037.JPEG
296,n02134084,ILSVRC2012_val_00028938.JPEG
144,n02051845,ILSVRC2012_val_00047669.JPEG
108,n01914609,ILSVRC2012_val_00014869.JPEG
170,n02090721,ILSVRC2012_val_00020070.JPEG
684,n03840681,ILSVRC2012_val_00006924.JPEG
135,n02013706,ILSVRC2012_val_00035614.JPEG
388,n02510455,ILSVRC2012_val_00042787.JPEG
803,n04252225,ILSVRC2012_val_00021002.JPEG
229,n02105641,ILSVRC2012_val_00028464.JPEG
109,n01917289,ILSVRC2012_val_00026144.JPEG
4,n01494475,ILSVRC2012_val_00029886.JPEG
330,n02325366,ILSVRC2012_val_00026361.JPEG
720,n03937543,ILSVRC2012_val_00030909.JPEG
352,n02422699,ILSVRC2012_val_00021701.JPEG
840,n04367480,ILSVRC2012_val_00039160.JPEG
48,n01695060,ILSVRC2012_val_00034669.JPEG
123,n01984695,ILSVRC2012_val_00040612.JPEG
909,n04596742,ILSVRC2012_val_00024149.JPEG
556,n03347037,ILSVRC2012_val_00008269.JPEG
21,n01608432,ILSVRC2012_val_00030094.JPEG
487,n02992529,ILSVRC2012_val_00046613.JPEG
71,n01770393,ILSVRC2012_val_00031977.JPEG
472,n02951358,ILSVRC2012_val_00032408.JPEG
117,n01968897,ILSVRC2012_val_00024867.JPEG
533,n03207743,ILSVRC2012_val_00029386.JPEG
621,n03649909,ILSVRC2012_val_00005053.JPEG
194,n02096437,ILSVRC2012_val_00003380.JPEG
996,n13052670,ILSVRC2012_val_00035340.JPEG
392,n02606052,ILSVRC2012_val_00008490.JPEG
